Academic_Calendar,Academic_Counseling,Academic_Staff,Acronym,Address,Admission_Office,Admission_Rate,Campus_Setting,Career_Services,Control_Type,Distance_Learning,Entity_Type,Fax,Financial_Aids,Founded,Housing,Institutional_Hospital,International_students,Library,Local_students,Motto,Religious_Affiliation,Selection_Type,Sport_Facilities,Student_Enrollment,Study_Abroad,Tel,country_name,country_rank,facebook,flag_img,instagram,linkedin,name,name_t,name_t_t,other_locations,screenshort,subject,twitter,uni_logo,university_name,url,wiki,world_rank,youtube
Semesters,Not reported,500-599,VCHT Praha,Technická 5 Prague  166 28 Prague Czech Republic,Václava Klementa 777 Velvary 27324 733 690 543,70-80%,Urban,Not reported,Public,Not reported,Non-Profit,+420 220 445 018,Not reported,1952,Not reported,Not reported,,Yes,,,None,"Yes, based on students' past academic record and grades",Yes,"4,000-4,999",Yes,+420 220 44 4145,"Czech Republic

",19,https://www.facebook.com/vscht/,https://www.4icu.org//i/flags/Czech-Republic.png,https://www.instagram.com/vschtpraha/,https://www.linkedin.com/school/vysok%C3%A1-%C5%A1kola-chemicko-technologick%C3%A1-v-praze/,"University of Chemistry and Technology, Prague","University of Chemistry and Technology, Prague","University of Chemistry and Technology, Prague",,https://www.4icu.org//i/screenshots/1141.jpg,Department of Chemical Technology | Department of Environmental Technology | Department of Food and Biochemical Technology | Department of Chemical Engineering,https://twitter.com/vscht,https://www.4icu.org//i/logos-seals/1141.png,Vysoká kola chemicko-technologická v Praze,https://www.4icu.org/reviews/1141.htm,"https://en.wikipedia.org/wiki/University_of_Chemistry_and_Technology,_Prague",2815,https://www.youtube.com/channel/UCsWIxry1p4URD-I67V6ANyg
Semesters,Not reported,800-899,OU,Dvorákova 7 Ostrava  701 03 Moravian-Silesian Region Czech Republic,,Not reported,Urban,Not reported,Public,Yes,Non-Profit,+420 596 113 146,Not reported,1991,Not reported,Yes,,Yes,,,None,Not reported,Yes,"8,000-8,999",Yes,+420 597 091 111,"Czech Republic

",13,https://www.facebook.com/ostravska.univerzita/,https://www.4icu.org//i/flags/Czech-Republic.png,https://www.instagram.com/ostravska_uni/,https://www.linkedin.com/school/ostravsk%C3%A1-univerzita-v-ostrav%C4%9B/,University of Ostrava,University of Ostrava,University of Ostrava,,https://www.4icu.org//i/screenshots/1151.jpg,Department of Arts | Pedagogical Faculty | Department of Science | Department of Medicine | Department of Fine Arts | Department of Social Studies | European Research Institute for Social Work | Centre of Excellence IT4Innovations | Institute for Research and Applications of Fuzzy Modeling,https://twitter.com/Ostravska_Uni,https://www.4icu.org//i/logos-seals/1151.png,Ostravská univerzita,https://www.4icu.org/reviews/1151.htm,https://en.wikipedia.org/wiki/University_of_Ostrava,2086,https://www.youtube.com/channel/UC4lg0S-J-Doy7cOB1KvuX0w
Semesters,Yes,600-699,Upa,Studentská 95 Pardubice  532 10 Pardubice Region Czech Republic,Studentska 95 Pardubice 532 10 466 036 445,50-60%,Urban,Not reported,Public,Yes,Non-Profit,+420,Yes,1950,Yes,Not reported,,Yes,,,None,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"8,000-8,999",Yes,+420 466 036 111,"Czech Republic

",14,https://www.facebook.com/univerzita.pardubice/,https://www.4icu.org//i/flags/Czech-Republic.png,https://www.instagram.com/upce_cz/,https://www.linkedin.com/school/university-of-pardubice/,University of Pardubice,University of Pardubice,University of Pardubice,Litomyl,https://www.4icu.org//i/screenshots/1152.jpg,Department of Arts and Philosophy | Department of Chemical Technology | Department of Economics and Administration | Department of Electrical Engineering and Informatics | Department of Health Studies | Department of Restoration | Department of Transport Engineering,https://twitter.com/UniPardubice,https://www.4icu.org//i/logos-seals/1152.png,Univerzita Pardubice,https://www.4icu.org/reviews/1152.htm,https://en.wikipedia.org/wiki/University_of_Pardubice,2261,https://www.youtube.com/channel/UC1Z6EhZXeWGEqi41fLFkI6w
Semesters,Yes,"2,000-2,499",ZCU,Univerzitní 2732/8 Pilsen  301 00 Plzen Region Czech Republic,They are not exist university admission office. The admission offices are at the faculties.,Not reported,Urban,Yes,Public,Yes,Non-Profit,+420 377 631 112,Yes,1991,Yes,Not reported,,Yes,,"Stojíme za hodnotami, které obstojí v menícím se svete We stand for values that stand up to a changing world",None,"Yes, based on entrance examinations",Yes,"15,000-19,999",Yes,+420 377 631 111,"Czech Republic

",7,https://www.facebook.com/zapadoceskauniverzitaplzen/,https://www.4icu.org//i/flags/Czech-Republic.png,https://www.instagram.com/zcuplzen/,https://www.linkedin.com/school/z%C3%A1pado%C4%8Desk%C3%A1-univerzita-v-plzni-z%C4%8Du-/,University of West Bohemia,University of West Bohemia,University of West Bohemia,Cheb,https://www.4icu.org//i/screenshots/1155.jpg,Department of Applied Sciences | Department of Arts and Design | Department of Economics | Department of Electrical Engineering | Department of Law | Department of Education | Department of Mechanical Engineering | Department of Arts | Department of Healthcare | Institute of Languages | Research Institute of New Technologies,https://twitter.com/ZapadoceskaUni,https://www.4icu.org//i/logos-seals/1155.png,Západoceská Univerzita v Plzni,https://www.4icu.org/reviews/1155.htm,https://en.wikipedia.org/wiki/University_of_West_Bohemia,1069,https://www.youtube.com/channel/UCU3DZ0ZjvDnT9BBpv_BszBg
Semesters,Yes,50-99,UCB,"Bugabo 02, Avenue de la Mission, Commune de Kadutu Bukavu  285 South Kivu Congo DR","Avenue de la Mission, Bugabo 2, Commune de Kadutu Bukavu 285 854 893 440 975 343 808",30-40%,Urban,Yes,Private,Not reported,Non-Profit,+243 975343808,Yes,1989,Yes,Not reported,,Yes,,Super Lacus Ac Montes Splendends Shine above lakes and mountains,Christian-Catholic,"Yes, based on entrance examinations",Yes,"3,000-3,999",Yes,+243 854 893 440,"Congo DR

",7,https://www.facebook.com/ucbukavu2016/,https://www.4icu.org//i/flags/Congo-DR.png,https://www.instagram.com/ucbukavu/,https://www.linkedin.com/in/ucb-universit%C3%A9-catholique-de-bukavu-a53a32113,Catholic University of Bukavu,Catholic University of Bukavu,Catholic University of Bukavu,,https://www.4icu.org//i/screenshots/1156.jpg,Department of Architecture and Urbanism | Department of Agriculture | Department of Economics | Department of Law | Department of Medicine | Department of Sciences | Department of Social Sciences,https://twitter.com/ucbukavu,https://www.4icu.org//i/logos-seals/1156.png,Université Catholique de Bukavu,https://www.4icu.org/reviews/1156.htm,https://fr.wikipedia.org/wiki/Universit%C3%A9_catholique_de_Bukavu,10097,https://www.youtube.com/channel/UCw3fqSskTJQz4Wh0WEOvIsw
Semesters,Yes,"over-5,000",AU,Nordre Ringgade 1 Aarhus  8000 Central Denmark Region Denmark,Fredrik Nielsens vej 5 Risskov 8240 8715 0720,Not reported,Urban,Yes,Public,Not reported,Non-Profit,+45 8619 7029,Yes,1928,Yes,Yes,,Yes,,Solidum petit in profundis Seek a firm footing in the depths,None,"Yes, based on students' past academic record and grades",Yes,"35,000-39,999",Yes,+45 8942 1111,"Denmark

",2,https://www.facebook.com/UniAarhus/,https://www.4icu.org//i/flags/Denmark.png,https://www.instagram.com/aarhusuni/,https://www.linkedin.com/school/aarhus-university-denmark-/,Aarhus University,Aarhus University,Aarhus University,"København, Herning",https://www.4icu.org//i/screenshots/1164.jpg,Department of Arts | Department of Science and Technology | Department of Health | School of Business and Social Sciences,https://twitter.com/AarhusUni,https://www.4icu.org//i/logos-seals/1164.png,Aarhus Universitet,https://www.4icu.org/reviews/1164.htm,https://en.wikipedia.org/wiki/Aarhus_University,223,https://www.youtube.com/channel/UChyCebYVT7uuWDacGBXd9fg
Semesters,Not reported,"over-5,000",KU,"Nørregade 10, Postboks 2177 Copenhagen  1165 Capital Region of Denmark Denmark","International Office, Frue Plads 4 Copenhagen 1168 3532 2626",Not reported,Urban,Not reported,Public,Not reported,Non-Profit,+45 3532 2628,Not reported,1479,Not reported,Yes,,Yes,,Coelestem adspicit lucem It looks at the celestial light,None,"Yes, based on students' past academic record and grades",Yes,"35,000-39,999",Yes,+45 3532 2626,"Denmark

",1,https://www.facebook.com/universitet/,https://www.4icu.org//i/flags/Denmark.png,https://www.instagram.com/university_of_copenhagen/,https://www.linkedin.com/school/university-of-copenhagen/,University of Copenhagen,University of Copenhagen,University of Copenhagen,"Tåstrup, Fredensborg",https://www.4icu.org//i/screenshots/1166.jpg,Department of Health Sciences | Department of Humanities | Department of Law | Department of Science | Department of Social Sciences | Department of Theology,https://twitter.com/koebenhavns_uni,https://www.4icu.org//i/logos-seals/1166.png,Københavns Universitet,https://www.4icu.org/reviews/1166.htm,https://en.wikipedia.org/wiki/University_of_Copenhagen,145,https://www.youtube.com/channel/UCm-QStA4kGkuOiH9Cla4QLw
Semesters,Yes,"3,000-3,499",SDU,Campusvej 55 Odense  5230 Region of Southern Denmark Denmark,Campusvej 55 Odense 5230 6550 1000,30-40%,Suburban,Yes,Public,Yes,Non-Profit,+45 6550 1090,Yes,1966,Yes,Yes,,Yes,,,None,"Yes, based on students' past academic record and grades",Yes,"25,000-29,999",Yes,+45 6550 1000,"Denmark

",4,https://www.facebook.com/SDUniversitet/,https://www.4icu.org//i/flags/Denmark.png,https://www.instagram.com/syddansk_universitet/,https://www.linkedin.com/school/syddanskuni/,University of Southern Denmark,University of Southern Denmark,University of Southern Denmark,"Esbjerg, Kolding, København, Slagelse, Sønderborg",https://www.4icu.org//i/screenshots/1171.jpg,Department of Health Sciences | Department of Humanities | Department of Science | Department of Engineering | Department of Social Sciences,https://twitter.com/syddanskuni,https://www.4icu.org//i/logos-seals/1171.png,Syddansk Universitet,https://www.4icu.org/reviews/1171.htm,https://en.wikipedia.org/wiki/University_of_Southern_Denmark,538,https://www.youtube.com/channel/UCKyf7lwsBQu_O3MNfZYS9-g
Semesters,Not reported,Not reported,RUC,"Universitetsvej 1, Postboks 260 Roskilde  4000 Region Zealand Denmark","Universitetsvej 1, PO Box 260 Roskilde 4000 4674 3103",Not reported,Not reported,Not reported,Public,Not reported,Non-Profit,+45 4674 3000,Not reported,1972,Not reported,Not reported,,Yes,,"In tranquillo mors; in fluctu vita In silence, death; in movement, life",None,Not reported,Yes,"9,000-9,999",Yes,+45 4674 2000,"Denmark

",7,https://www.facebook.com/rucdk/,https://www.4icu.org//i/flags/Denmark.png,https://www.instagram.com/roskildeuniversitet/,https://www.linkedin.com/school/roskilde-university/,Roskilde University,Roskilde University,Roskilde University,,https://www.4icu.org//i/screenshots/1172.jpg,Department of Humanities | Department of Natural Sciences | Department of Social Sciences,https://twitter.com/roskildeuni,https://www.4icu.org//i/logos-seals/1172.png,Roskilde Universitet,https://www.4icu.org/reviews/1172.htm,https://en.wikipedia.org/wiki/Roskilde_University,1302,https://www.youtube.com/channel/UC0OjknTMcW4dPr1h2spiO8Q
Semesters,Not reported,100-199,UNAD,"Autopista Duarte, Km 74 1/2 Bonao  770 Monsenor Nouel Dominican Republic","km 74.5 Autopista Duarte, Villa Sonador Bonao 770 (809) 525 7533",80-90%,Rural,Not reported,Private,Not reported,Non-Profit,+1 (809) 525 4048,Not reported,1982 Origins date back to 1947,Yes,Not reported,,Yes,,Un concepto educativo diferente,Christian-Adventist Seventh Day Adventist - www.adventist.org,"Yes, based on students' past academic record and grades",Yes,"3,000-3,999",Yes,+1 (809) 525 7533,"Dominican Republic

",21,https://www.facebook.com/unadoficial/,https://www.4icu.org//i/flags/Dominican-Republic.png,https://www.instagram.com/unadrd/,https://www.linkedin.com/school/universidad-adventista-dominicana/,Dominican Adventist University,Dominican Adventist University,Dominican Adventist University,"Santo Domingo, San Pedro de Macorís, Azua",https://www.4icu.org//i/screenshots/1190.jpg,Department of business | Department of Health Science | Department of Humanities | Department of Technology and Engineering | Department of Theology,https://twitter.com/unadrd,https://www.4icu.org//i/logos-seals/1190.png,Universidad Adventista Dominicana,https://www.4icu.org/reviews/1190.htm,https://en.wikipedia.org/wiki/Dominican_Adventist_University,9067,https://www.youtube.com/channel/UCuDQAADLbvddK9uu7UZ2tHA
Semesters,Not reported,Not reported,UASD,Calle Correa y Cidrón Santo Domingo   Distrito Nacional Dominican Republic,,Not reported,Urban,Not reported,Public,Not reported,Non-Profit,+1 (809) 533 1106,Not reported,1538,Not reported,Not reported,,Yes,,Neo Mundi Decanatus Dean of the New World,None,Not reported,Not reported,"over-45,000",Yes,+1 (809) 533 1104,"Dominican Republic

",1,https://www.facebook.com/universidadUASD/,https://www.4icu.org//i/flags/Dominican-Republic.png,https://www.instagram.com/universidaduasd/,https://www.linkedin.com/school/universidad-aut%C3%B3noma-de-santo-domingo/,Autonomous University of Santo Domingo,Autonomous University of Santo Domingo,Autonomous University of Santo Domingo,,https://www.4icu.org//i/screenshots/1191.jpg,Department of Humanities | Department of Agronomy and Veterinary Sciences | Department of Laws and Political Sciences | Department of Economics and Social Sciences | Department of Engineering and Architecture | Department of Sciences | Department of Health Sciences | Department of Arts,https://twitter.com/UniversidadUASD,https://www.4icu.org//i/logos-seals/1191.png,Universidad Autónoma de Santo Domingo,https://www.4icu.org/reviews/1191.htm,https://en.wikipedia.org/wiki/Universidad_Aut%C3%B3noma_de_Santo_Domingo,2023,https://www.youtube.com/channel/UCJN4d52uqt79NN36xvkdWPw
Semesters,Not reported,"1,000-1,499",UNPHU,Autopista Duarte Km 7 y 1/2 Santo Domingo  1000 Distrito Nacional Dominican Republic,Autopista Duarte Km 7 y 1/2 Santo Domingo 1000 (809) 540 0422,30-40%,Urban,Not reported,Private,Not reported,Non-Profit,+1 (809) 540 0425,Not reported,1966,Not reported,Not reported,,Yes,,,None,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"7,000-7,999",Yes,+1 (809) 540 0422,"Dominican Republic

",8,https://www.facebook.com/UNPHU/,https://www.4icu.org//i/flags/Dominican-Republic.png,https://www.instagram.com/unphu/,https://www.linkedin.com/school/universidad-nacional-pedro-henr-quez-ure-a/,Pedro Henríquez Ureña National University,Pedro Henríquez Ureña National University,Pedro Henríquez Ureña National University,La Vega,https://www.4icu.org//i/screenshots/1199.jpg,Department of Human Health | Department of Architecture and Arts | Department of Science and Technology | Department of Law | Department of Economic and Social Sciences | Department of Agricultural Sciences and Natural Resources | Department of Literature and Humanities,https://twitter.com/unphurd,https://www.4icu.org//i/logos-seals/1199.png,Universidad Nacional Pedro Henríquez Ureña,https://www.4icu.org/reviews/1199.htm,https://en.wikipedia.org/wiki/Universidad_Nacional_Pedro_Henr%C3%ADquez_Ure%C3%B1a,4686,https://www.youtube.com/channel/UCF71qyI9XQI-QFal85gAo0A
Semesters,Not reported,700-799,UCE,Avenida Francisco Alberto Caamaño Deño San Pedro de Macorís  21000 San Pedro de Macoris Dominican Republic,Avenida Francisco Alberto Caamaño Deño San Pedro de Macoris 21000 (809) 529 3562 (305) 675 7148,70-80%,Suburban,Not reported,Private,Not reported,Non-Profit,+1 (809) 246 5816,Yes,1970,Yes,Not reported,,Yes,,"Sacrificio, Estudio y Responsabilidad Study,Sacrifice and Responsability",None,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"6,000-6,999",Yes,+1 (809) 529 3562,"Dominican Republic

",12,https://www.facebook.com/UCEUniversidad/,https://www.4icu.org//i/flags/Dominican-Republic.png,https://www.instagram.com/uceuniversidad/,https://www.linkedin.com/school/universidad-central-del-este---uce/,Central University of the East,Central University of the East,Central University of the East,"San Juan de la Maguana, Montecristi, La Romana",https://www.4icu.org//i/screenshots/1195.jpg,Health Sciences School | Management and Administration School | Engineering and Natural Resources School | Law School | Sciences and Humanities School,https://twitter.com/UCEUniversidad,https://www.4icu.org//i/logos-seals/1195.png,Universidad Central del Este,https://www.4icu.org/reviews/1195.htm,https://en.wikipedia.org/wiki/Universidad_Central_del_Este,6230,https://www.youtube.com/channel/UCP7_e3EkVw1JL0x4lkdl1xw
Quarters,Yes,500-599,UNICARIBE,"Autopista 30 de Mayo Km 7 1/2, Urb Tropical Santo Domingo  92000 Distrito Nacional Dominican Republic","Autopista 30 de Mayo Km 7 1/2, Urb Tropical Santo Domingo 10116 (809) 616 1616",70-80%,Urban,Yes,Private,Yes,Non-Profit,+1 (305) 503 7427,Yes,1995,Not reported,Not reported,,Yes,,Ut Semes Ita Metes You Reap What You Sow,None,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"25,000-29,999",Yes,+1 (809) 616 1616,"Dominican Republic

",7,https://www.facebook.com/UnicaribeOnline/,https://www.4icu.org//i/flags/Dominican-Republic.png,https://www.instagram.com/unicaribeonline/,https://www.linkedin.com/school/universidad-del-caribe-dominican-republic/,University of Caribe,University of Caribe,University of Caribe,Monte Plata,https://www.4icu.org//i/screenshots/1203.jpg,Department of Engineering | Department of Arts and Humanities | Department of Business and Social Science | Department of Science and Technology,https://twitter.com/UnicaribeOnline,https://www.4icu.org//i/logos-seals/1203.png,Universidad del Caribe,https://www.4icu.org/reviews/1203.htm,https://en.wikipedia.org/wiki/Universidad_del_Caribe_(RD),4172,https://www.youtube.com/channel/UC8npVviAS_uNsm1Uji6oCsA
Semesters,Not reported,500-599,ESPOL,Campus Gustavo Galindo V. Km. 30.5 Vía Perimetral Guayaquil  9015863 Guayas Ecuador,"Campus Las Peñas ""Malecon 100 y Loja"" Guayaquil 9015863 (4) 253 0002",30-40%,Urban,Not reported,Public,Not reported,Non-Profit,+593 (4) 285 2541,Not reported,1958,Not reported,Not reported,,Yes,,,None,"Yes, based on entrance examinations",Yes,"10,000-14,999",Yes,+593 (4) 226 9144,"Ecuador

",2,https://www.facebook.com/espol/,https://www.4icu.org//i/flags/Ecuador.png,https://www.instagram.com/espol1/,https://www.linkedin.com/school/escuela-superior-polit%C3%A9cnica-del-litoral/,ESPOL Polytechnic University,ESPOL Polytechnic University,ESPOL Polytechnic University,"Las Peñas, Santa Elena, Daule",https://www.4icu.org//i/screenshots/1208.jpg,Department of Engineering | Department of Economics and Business | Institute of Basic Sciences,https://twitter.com/espol,https://www.4icu.org//i/logos-seals/1208.png,Escuela Superior Politécnica del Litoral,https://www.4icu.org/reviews/1208.htm,https://en.wikipedia.org/wiki/Escuela_Superior_Politecnica_del_Litoral,1776,https://www.youtube.com/channel/UCxWAiJzpSMZ5EHELK0GI71w
Semesters,Not reported,Not reported,PUCE,Avenida 12 de Octubre 1076 y Roca Quito   Pichincha Ecuador,Avenida 12 de Octubre 1076 y Roca Quito,Not available,Urban,Not reported,Private,Not reported,Non-Profit,+593 (3) 241 1868,Yes,1946,Not reported,Not reported,,Yes,,Seréis mis testigos You will be my witnesses,Christian-Catholic Jesuit - www.jesuit.org,"Yes, based on students' past academic record and grades",Yes,"7,000-7,999",Yes,+593 (3) 241 6722,"Ecuador

",3,https://www.facebook.com/pontificiauniversidadcatolicadelecuador/,https://www.4icu.org//i/flags/Ecuador.png,https://www.instagram.com/puce_ecuador/,https://www.linkedin.com/school/pontificia-universidad-cat-lica-del-ecuador/,Pontifical Catholic University of Ecuador,Pontifical Catholic University of Ecuador,Pontifical Catholic University of Ecuador,,https://www.4icu.org//i/screenshots/1209.jpg,"Department of Architecture, Design and Arts | Department of Administrative and Accounting Sciences | Department of Exact and Natural Sciences | Department of Philosophical and Theological Sciences | Department of Human Sciences | Department of Education Sciences | Department of Communication, Linguistics and Literature | Department of Economics | Department of Nursing | Department of Engineering | Department of Jurisprudence | Department of Medicine | Department of Psychology | School of Bioanalysis | School of Social Work",https://twitter.com/PUCE_Ecuador,https://www.4icu.org//i/logos-seals/1209.png,Pontificia Universidad Católica del Ecuador,https://www.4icu.org/reviews/1209.htm,https://en.wikipedia.org/wiki/Pontificia_Universidad_Cat%C3%B3lica_del_Ecuador,1843,https://www.youtube.com/channel/UCDdFVNPIXEhC1s8dj3pifzA
Semesters,Yes,200-299,UIDE,Avenida Jorge Fernández y Simón Bolívar Quito  170201 Pichincha Ecuador,Av. Jorge Fernández y Av. Simón Bolívar Quito 170201 (2) 2985-600 ext. 2461 /2462 / 2463,30-40%,Suburban,Yes,Private,Yes,Non-Profit,+593,Yes,1996,Yes,Not reported,,Yes,,Educación de Calidad Internacional para una Vida Exitosa International quality education for a successful life,None,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"5,000-5,999",Yes,+593 (2) 2985 600,"Ecuador

",25,https://www.facebook.com/UIDEonline/,https://www.4icu.org//i/flags/Ecuador.png,https://www.instagram.com/uide_ec/,https://www.linkedin.com/school/universidad-internacional-del-ecuador/,International University of Ecuador,International University of Ecuador,International University of Ecuador,"Loja, Guayaquil",https://www.4icu.org//i/screenshots/1216.jpg,"Department of Administrative and Economic Sciences | Department of Architecture, Urbanism and City | Department of Hospitality and Environmental Management | Department of Law, Social Sciences and Humanities A. F. Córdova | Department of Technical Sciences | Department of Security Sciences and Risk Management",https://twitter.com/UIDE,https://www.4icu.org//i/logos-seals/1216.png,Universidad Internacional del Ecuador,https://www.4icu.org/reviews/1216.htm,/about/err.htm,5776,https://www.youtube.com/channel/UCsG-IcFWTgG1tbfejMnQ-KA
Semesters,Not reported,900-999,UNL,Ciudad Universitaria Guillermo Falconí Espinosa La Argelia Loja  110150 Loja Ecuador,Ciudad Universitaria Guillermo Falconí Espinosa La Argelia Loja 110150 (72) 254 7236 (72) 254 7236,80-90%,Urban,Not reported,Public,Yes,Non-Profit,+593 (7) 254 6075,Yes,1859,Not reported,Not reported,,Yes,,In Thesavris Sapientiae Glorificatio Vitae,None,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"10,000-14,999",Yes,+593 (7) 254 7252,"Ecuador

",18,https://www.facebook.com/UNLoficial/,https://www.4icu.org//i/flags/Ecuador.png,https://www.instagram.com/unloficial/,https://www.linkedin.com/school/universidad-nacional-de-loja/,National University of Loja,National University of Loja,National University of Loja,"Zamora, Catacocha, Zaruma",https://www.4icu.org//i/screenshots/1220.jpg,"Facultad de la Energía, las Industrias y los Recursos Naturales no Renovables | Facultad Jurídica, Social y Administrativa | Facultad de la Educación, el Arte y la Comunicación | Facultad de la Salud Humana | Facultad Agropecuaria y de Recursos Naturales Renovables | Unidad de Estudios a Distancia",https://twitter.com/UNLoficial,https://www.4icu.org//i/logos-seals/1220.png,Universidad Nacional de Loja,https://www.4icu.org/reviews/1220.htm,https://es.wikipedia.org/wiki/Universidad_Nacional_de_Loja,4665,https://www.youtube.com/channel/UCXMwpCdZV7QHdKBuFk3QeUw
Semesters,Yes,700-799,USFQ,"Diego de Robles y Pampite, Cumbayá Quito  170901 Pichincha Ecuador","Diego de Robles y Pampite, Cumbayá Quito 170901 (2) 2971 821 (2) 2971 824",50-60%,Urban,Yes,Private,Yes,Non-Profit,+593 (2) 289 0070,Yes,1988,Not reported,Not reported,,Yes,,"Studium, Progressus, Labor Study, Progress, Work",None,"Yes, based on entrance examinations",Yes,"9,000-9,999",Yes,+593 (2) 297 1700,"Ecuador

",4,https://www.facebook.com/USFQEcuador/,https://www.4icu.org//i/flags/Ecuador.png,https://www.instagram.com/usfq/,https://www.linkedin.com/school/universidad-san-francisco-de-quito/,San Francisco de Quito University,San Francisco de Quito University,San Francisco de Quito University,Cumbaya,https://www.4icu.org//i/screenshots/1222.jpg,"College of Administration for Development | College of Agriculture, Food and Nutrition | College of Architecture and Interior Design | College of Liberal Arts | College of Biological and Environmental Sciences | College of Health Sciences | College of Sciences and Engineering - El Politécnico | College of Communication and Contemporary Arts | College of Hospitality, Culinary Arts and Tourism | College of Jurisprudence | College of Postgraduates Studies",https://twitter.com/usfq_ecuador,https://www.4icu.org//i/logos-seals/1222.png,Universidad San Francisco de Quito,https://www.4icu.org/reviews/1222.htm,https://en.wikipedia.org/wiki/Universidad_San_Francisco_de_Quito,1865,https://www.youtube.com/channel/UCunZaydvFn71iYrQIO80YPA
Semesters,Yes,100-199,UEES,"Vía La Puntilla, Samborondón, Km 2.5 Samborondón  0901-952 Guayas Ecuador","Vía La Puntilla, Samborondón, Km 2.5 Samborondón 0901-952 (4) 283 5630",50-60%,Urban,Yes,Private,Yes,Non-Profit,+593 (4) 283 5483,Yes,1994,Yes,Not reported,,Yes,,Non progredi est regredi To not go forward is to go backward,None,"Yes, based on entrance examinations",Yes,"5,000-5,999",Yes,+593 (4) 283 5630,"Ecuador

",26,https://www.facebook.com/universidadespiritusanto/,https://www.4icu.org//i/flags/Ecuador.png,https://www.instagram.com/uees_ec/,https://www.linkedin.com/school/esp-ritu-santo/,Espiritu Santo University,Espiritu Santo University,Espiritu Santo University,,https://www.4icu.org//i/screenshots/1234.jpg,Facultad de Arquitectura e Ingeniería Civil | Facultad de Artes Liberales | Facultad de Comunicación | Facultad de Derecho | Facultad de Economía y Ciencias Empresariales | Facultad de Estudios Internacionales | Facultad de Ciencias Médicas | Facultad de Sistemas | Facultad de Turismo y Hotelería,https://twitter.com/uees_ec,https://www.4icu.org//i/logos-seals/1234.png,Universidad de Especialidades del Espíritu Santo,https://www.4icu.org/reviews/1234.htm,https://en.wikipedia.org/wiki/Universidad_de_Especialidades_Esp%C3%ADritu_Santo,5838,https://www.youtube.com/channel/UChAw3e3-3dt93oTGsdm8ibQ
Trimesters,Not reported,300-399,UPacifico,"El Pinar Alto, Calle B N48-177 Quito  17-08-8229 Pichincha Ecuador",Km 7 1/2 Via a la Costa Guayaquil  (4) 287 3387 1800 UPACIFICO,70-80%,Urban,Not reported,Private,Not reported,Non-Profit,+593 (2) 244 4509,Yes,1994,Yes,Not reported,,Yes,,Formando Empresarios con Vision Internacional Forming Entrepreneurs with a Global Vision,None,"Yes, based on students' past academic record and grades",Yes,"2,000-2,999",Yes,+593 (2) 244 4510,"Ecuador

",39,https://www.facebook.com/UPacificoEC/,https://www.4icu.org//i/flags/Ecuador.png,https://www.instagram.com/upacifico_ec/,https://www.linkedin.com/school/universidad-del-pac%C3%ADfico---ecuador/,"University of the Pacific, Ecuador","University of the Pacific, Ecuador","University of the Pacific, Ecuador","Guayaquil, Cuenca",https://www.4icu.org//i/screenshots/1237.jpg,School of Business | Law School | School of the Sea | Technology Engineering | Department of Tourism and Foreign Languages;,https://twitter.com/UPacifico_EC,https://www.4icu.org//i/logos-seals/1237.png,"Universidad del Pacifico, Ecuador",https://www.4icu.org/reviews/1237.htm,https://en.wikipedia.org/wiki/Universidad_Del_Pac%C3%ADfico_%E2%80%93_Ecuador,7495,https://www.youtube.com/channel/UCV1HLU0NIijgylQLl6sY0vw
Continuous,Not reported,Not reported,ASU,"El-Khalyfa El-Ma'moun Street, Abbasya Cairo  11566 Cairo Egypt",,Not reported,Not reported,Not reported,Public,Not reported,Non-Profit,+20 (2) 685 9251,Not reported,1950,Not reported,Not reported,,Yes,,,None,Not reported,Not reported,"15,000-19,999",Not reported,+20 (2) 683 1231,"Egypt

",5,https://www.facebook.com/AinShams.University.EG/,https://www.4icu.org//i/flags/Egypt.png,https://www.instagram.com/ainshamsuniversity/,https://www.linkedin.com/school/ain-shams-university/,جامعة عين شمس,جامعة عين شمس,جامعة عين شمس,,https://www.4icu.org//i/screenshots/1238.jpg,Department of Agriculture | Department of Arts | Department of Commerce | Department of Computer and Information Sciences | Department of Education | Department of Engineering | Department of Dentistry | Department of Languages | Department of Law | Department of Medicine | Department of Nursing | Department of Pharmacy | Department of Science | Department of Specific Education | Women's College | Institute of Environmental Studies and Research | Institute of Postgraduate Childhood,https://twitter.com/ainshamsegypt,https://www.4icu.org//i/logos-seals/1238.png,Ain Shams University,https://www.4icu.org/reviews/1238.htm,https://en.wikipedia.org/wiki/Ain_Shams_University,2228,https://www.youtube.com/channel/UCpVsIJu2yTugSBnkxHs6t-g
