Academic_Calendar,Academic_Counseling,Academic_Staff,Acronym,Address,Admission_Office,Admission_Rate,Campus_Setting,Career_Services,Control_Type,Distance_Learning,Entity_Type,Fax,Financial_Aids,Founded,Housing,Institutional_Hospital,International_students,Library,Local_students,Motto,Religious_Affiliation,Selection_Type,Sport_Facilities,Student_Enrollment,Study_Abroad,Tel,country_name,country_rank,flag_img,name,name_t,name_t_t,other_locations,screenshort,subject,uni_logo,university_name,url,wiki,world_rank
Semesters,Not reported,200-299,USDB,Route de Soumaa; Boîte Postale 270 Blida  09022 Blida Algeria,,60-70%,Suburban,Not reported,Public,Yes,Non-Profit,+213 (25) 272 373,Yes,1981,Yes,Not reported,,Yes,,,None,"Yes, based on students' past academic record and grades",Yes,"over-45,000",Yes,+213 (25) 272 436,"Algeria

",24,https://www.4icu.org//i/flags/Algeria.png,University of Blida 1,University of Blida 1,University of Blida 1,,https://www.4icu.org//i/screenshots/15.jpg,Department of Agro-Veterinary and Biologic Sciences | Department of literature and Social Sciences | Department of Economic and Management Sciences | Department of Engineering Sciences | Department of Law | Department of Sciences,https://www.4icu.org//i/logos-seals/15.png,Université Saad Dahlab de Blida 1,https://www.4icu.org/reviews/15.htm,https://en.wikipedia.org/wiki/University_of_Blida,5594
Not reported,Not reported,Not reported,UB1,"1, Rue Chahid Boukhlouf Mohamed El Hadi Batna  05000 Batna Algeria",,Not reported,Not reported,Not reported,Public,Not reported,Non-Profit,+213 (33) 815 375,Not reported,1977,Not reported,Not reported,,Yes,,,None,Not reported,Not reported,"30,000-34,999",Not reported,+213 (33) 814 039,"Algeria

",13,https://www.4icu.org//i/flags/Algeria.png,University of Batna 1,University of Batna 1,University of Batna 1,,https://www.4icu.org//i/screenshots/14.jpg,Department of Economics | Department of Engineering Sciences | Department of Humanities | Institute of Hygiene and Industrial Security | Department of Law | Department of Medicine | Department of Sciences | Department of Social Sciences and Islamic Sciences,https://www.4icu.org//i/logos-seals/14.png,Université Hadj Lakhder de Batna 1,https://www.4icu.org/reviews/14.htm,https://en.wikipedia.org/wiki/University_of_Batna,4311
Semesters,Not reported,Not reported,UORAN,"Boîte Postale 1524, El M'Naouer Oran  31000 Oran Algeria",,Not reported,Not reported,Not reported,Public,Not reported,Non-Profit,+213 (41) 581 941,Not reported,1967,Not reported,Not reported,,Yes,,,None,Not reported,Not reported,"25,000-29,999",Not reported,+213 (41) 519 234,"Algeria

",8,https://www.4icu.org//i/flags/Algeria.png,University of Oran 1,University of Oran 1,University of Oran 1,,https://www.4icu.org//i/screenshots/13.jpg,"Department of Earth Sciences, Geography and Regional Planning | Department of Economics, Management and Commercial Sciences | Department of Humanities and Islamic Civilization | Department of Law | Department of Letters, Languages and Arts | Department of Medicine | Department of Sciences | Department of Social Sciences",https://www.4icu.org//i/logos-seals/13.png,Université Ahmed Ben Bella d'Oran 1,https://www.4icu.org/reviews/13.htm,https://en.wikipedia.org/wiki/University_of_Oran,3695
Not reported,Not reported,Not reported,UHBC,"Boîte Postale 151, Hay Essalam Chlef  02000 Chlef Algeria",,Not reported,Not reported,Not reported,Public,Not reported,Non-Profit,+213 (27) 722 877,Not reported,1983,Not reported,Not reported,,Yes,,,None,Not reported,Not reported,Not reported,Not reported,+213 (27) 722 877,"Algeria

",11,https://www.4icu.org//i/flags/Algeria.png,University of Chlef,University of Chlef,University of Chlef,,https://www.4icu.org//i/screenshots/17.jpg,Department of Agronomy and Biological Sciences | Department of Arts and Languages | Department of Economic and Management Sciences | Institute of Physical Education | Department of Judicial and Administrative Sciences | Department of Science and Engineering,https://www.4icu.org//i/logos-seals/17.png,Université Hassiba Ben Bouali de Chlef,https://www.4icu.org/reviews/17.htm,https://ar.wikipedia.org/wiki/%D8%AC%D8%A7%D9%85%D8%B9%D8%A9_%D8%AD%D8%B3%D9%8A%D8%A8%D8%A9_%D8%A8%D9%86_%D8%A8%D9%88%D8%B9%D9%84%D9%8A_-%D8%A7%D9%84%D8%B4%D9%84%D9%81-,4145
Not reported,Not reported,Not reported,UMOSTAG,Route de Belahcel; Boîte Postale 188 Mostaganem  27000 Mostaganem Algeria,,Not reported,Not reported,Not reported,Public,Not reported,Non-Profit,+213 (45) 265 452,Not reported,1978,Not reported,Not reported,,Yes,,,None,Not reported,Not reported,Not reported,Not reported,+213 (45) 421 118,"Algeria

",10,https://www.4icu.org//i/flags/Algeria.png,University of Mostaganem,University of Mostaganem,University of Mostaganem,,https://www.4icu.org//i/screenshots/19.jpg,Department of Arts | Institute of Physical Training and Sports | Department of Law and Commercial Sciences | Department of Science and Engineering Sciences | Department of Social Sciences,https://www.4icu.org//i/logos-seals/19.png,Université Abdelhamid Ibn Badis de Mostaganem,https://www.4icu.org/reviews/19.htm,https://en.wikipedia.org/wiki/University_of_Mostaganem,3818
Not reported,Not reported,Not reported,UAMB,Route de Targua Ouzemour Béjaïa  06000 Bejaia Algeria,34 Rue les Aures Bejaia 06000,Not reported,Not reported,Not reported,Public,Not reported,Non-Profit,+213 (34) 216 098,Not reported,1983,Not reported,Not reported,,Yes,,,None,Not reported,Not reported,"over-45,000",Not reported,+213 (34) 214 333,"Algeria

",3,https://www.4icu.org//i/flags/Algeria.png,University of Bejaia,University of Bejaia,University of Bejaia,,https://www.4icu.org//i/screenshots/16.jpg,"Department of Arts and Humanities | Department of Economics, Management and Commerce Sciences | Department of Exact Sciences | Department of Law and Economics | Department of Medicine | Department of Natural and Life Sciences | Department of Technology",https://www.4icu.org//i/logos-seals/16.png,Université Abderrahmane Mira de Béjaia,https://www.4icu.org/reviews/16.htm,https://en.wikipedia.org/wiki/University_of_B%C3%A9ja%C3%Afa,3008
Semesters,Not reported,900-999,UOUARGLA,Route Ghardaïa; Boîte Postale 511 Ouargla  30000 Ouargla Algeria,,Not reported,Suburban,Not reported,Public,Yes,Non-Profit,+213 (29) 715 161,Yes,1988,Yes,Not reported,,Yes,,,None,"Yes, based on students' past academic record and grades",Yes,"20,000-24,999",Yes,+213 (29) 712 468,"Algeria

",12,https://www.4icu.org//i/flags/Algeria.png,University of Ouargla,University of Ouargla,University of Ouargla,,https://www.4icu.org//i/screenshots/20.jpg,Department of Arts and Humanities | Department of Law and Economic Sciences | Department of Science and Engineering Sciences,https://www.4icu.org//i/logos-seals/20.png,Université Kasdi Merbah de Ouargla,https://www.4icu.org/reviews/20.htm,https://en.wikipedia.org/wiki/University_of_Ouargla,4305
Semesters,Not reported,"over-5,000",UMC,Route de Ain El Bey; Boîte Postale 325 Constantine  25017 Constantine Algeria,,Not reported,Suburban,Not reported,Public,Yes,Non-Profit,+213 (31) 818 711,Not reported,1969,Yes,Not reported,,Yes,,,None,"Yes, based on students' past academic record and grades",Yes,"over-45,000",Yes,+213 (31) 811 271,"Algeria

",1,https://www.4icu.org//i/flags/Algeria.png,University of Constantine 1,University of Constantine 1,University of Constantine 1,,https://www.4icu.org//i/screenshots/18.jpg,Department of Earth Sciences and Regional Planning | Department of Economic Sciences | Department of Engineering Sciences | Department of Exact Sciences | Department of Humanities and Social Sciences | Department of Languages and Literature | Department of Law | Department of Medicine | Department of Natural Sciences,https://www.4icu.org//i/logos-seals/18.png,Université Frères Mentouri de Constantine 1,https://www.4icu.org/reviews/18.htm,https://en.wikipedia.org/wiki/Constantine_1_University,2436
Semesters,Not reported,Not reported,UDL,"Boîte Postale 89, Cité Ben M 'hidi Sidi Bel Abbès  22000 Sidi Bel Abbes Algeria",BP 89 Sidi Bel Abbess 22000,Not available,Urban,Not reported,Public,Not reported,Non-Profit,+213 (48) 569 546,Not reported,1978,Not reported,Not reported,,Yes,,,None,"None, open admission policy",Not reported,"35,000-39,999",Not reported,+213 (48) 569 546,"Algeria

",29,https://www.4icu.org//i/flags/Algeria.png,University of Sidi-Bel-Abbès,University of Sidi-Bel-Abbès,University of Sidi-Bel-Abbès,,https://www.4icu.org//i/screenshots/21.jpg,Department of Commercial Sciences | Department of Engineering Sciences | Department of Humanities | Department of Law | Department of Medicine | Department of Sciences,https://www.4icu.org//i/logos-seals/21.png,Université Djillali Liabès de Sidi-Bel-Abbès,https://www.4icu.org/reviews/21.htm,https://fr.wikipedia.org/wiki/Universit%C3%A9_Djillali_Liabes,6219
Not reported,Not reported,Not reported,USKIKDA,Route d'El-Hadaiek; Boîte Postale 26 Skikda  21000 Skikda Algeria,,Not reported,Not reported,Not reported,Public,Not reported,Non-Profit,+213 (38) 701 004,Not reported,2001,Not reported,Not reported,,Yes,,,None,Not reported,Not reported,Not reported,Not reported,+213 (38) 701 000,"Algeria

",23,https://www.4icu.org//i/flags/Algeria.png,20 August 1955 University of Skikda,20 August 1955 University of Skikda,20 August 1955 University of Skikda,,https://www.4icu.org//i/screenshots/22.jpg,Department of Economic and Management Sciences | Department of Sciences and Engineering Sciences | Department of Social Sciences and Humanities,https://www.4icu.org//i/logos-seals/22.png,Université 20 Août 1955 de Skikda,https://www.4icu.org/reviews/22.htm,https://ar.wikipedia.org/wiki/%D8%AC%D8%A7%D9%85%D8%B9%D8%A9_20_%D8%A3%D9%88%D8%AA_1955-%D8%B3%D9%83%D9%8A%D9%83%D8%AF%D8%A9,5553
Semesters,Yes,"1,000-1,499",UFAS1,Campus El Bez Sétif  19000 Setif Algeria,"Vice-rectorate for Higher Undergraduate Education, Continuing Education and Degrees, Campus El Bez Sétif 19000 (36) 620 225",80-90%,Suburban,Yes,Public,Yes,Non-Profit,+213 (36) 620 232,Yes,1978,Yes,Not reported,,Yes,,,None,"Yes, based on students' past academic record and grades",Yes,"35,000-39,999",Yes,+213 (36) 620 224,"Algeria

",6,https://www.4icu.org//i/flags/Algeria.png,Ferhat Abbas Sétif University 1,Ferhat Abbas Sétif University 1,Ferhat Abbas Sétif University 1,,https://www.4icu.org//i/screenshots/23.jpg,"Department of Medicine | Department of Technology | Department of Science | Department of Natural and Life Sciences | Department of Economics, Commerce and Management Sciences | Institute of Architecture and Earth Sciences | Institute of Optics and Precision Mechanics",https://www.4icu.org//i/logos-seals/23.png,Université Ferhat Abbas Sétif 1,https://www.4icu.org/reviews/23.htm,https://en.wikipedia.org/wiki/Ferhat_Abbas_University,3506
Continuous,Yes,900-999,USTO-MB,"El Mnaouar; Boîte Postale 1505, Bir El Djir Oran  01505 Oran Algeria",usto-mb Oran 1505 (41) 627 153,60-70%,Urban,Yes,Public,Yes,Non-Profit,+213 (41) 627 160,Yes,1971,Yes,Not reported,,Yes,,,None,"Yes, based on students' past academic record and grades",Yes,"20,000-24,999",Yes,+213 (41) 617 146,"Algeria

",22,https://www.4icu.org//i/flags/Algeria.png,University of Science and Technology of Oran,University of Science and Technology of Oran,University of Science and Technology of Oran,,https://www.4icu.org//i/screenshots/25.jpg,Department of Architecture and Civil Engineering | Department of Electrical Engineering | Department of Mechanical Engineering | Department of Science,https://www.4icu.org//i/logos-seals/25.png,Université des Sciences et de la Technologie d'Oran Mohamed Boudiaf,https://www.4icu.org/reviews/25.htm,https://ar.wikipedia.org/wiki/%D8%AC%D8%A7%D9%85%D8%B9%D8%A9_%D8%A7%D9%84%D8%B9%D9%84%D9%88%D9%85_%D9%88%D8%A7%D9%84%D8%AA%D9%83%D9%86%D9%88%D9%84%D9%88%D8%AC%D9%8A%D8%A7_%D9%85%D8%AD%D9%85%D8%AF_%D8%A8%D9%88%D8%B6%D9%8A%D8%A7%D9%81,5445
Semesters,Not reported,300-399,UCAN,"Avenida Pedro de Castro Van Dunem, n. 24 Luanda  2064 Luanda Angola","Avenida Pedro de Castro Van Dunem, n. 24 Luanda 2064 (222) 010 916 (222) 010 916",50-60%,Suburban,Yes,Private,Not reported,For-Profit,+244 (222) 010 916,Yes,1997,Not reported,Not reported,,Yes,,Veritas Vita The Truth The life,Christian-Catholic,"Yes, based on entrance examinations",Not reported,"5,000-5,999",Yes,+244 (222) 010 916,"Angola

",6,https://www.4icu.org//i/flags/Angola.png,Catholic University of Angola,Catholic University of Angola,Catholic University of Angola,,https://www.4icu.org//i/screenshots/27.jpg,"Department of Engineering | Department of Economics and Management | Department of Law | Department of Humanities and Social Sciences | Mineral Resources, Environment and Technology Institute | Social Assistants and Higher Civic Education Institute | Institute of Philosophy",https://www.4icu.org//i/logos-seals/27.png,Universidade Católica de Angola,https://www.4icu.org/reviews/27.htm,https://en.wikipedia.org/wiki/Catholic_University_of_Angola,6610
Semesters,Not reported,900-999,UAN,Avenida 4 de Fevereiro 7 Luanda   Luanda Angola,Avenida 4 de Fevereiro 7 Luanda  (222) 311 125,30-40%,Urban,Not reported,Public,Not reported,Non-Profit,+244 (222) 310 283,Yes,1962,Not reported,Not reported,,Yes,,"Ensino, Investigação, Produção Teaching, Research, Production",None,"Yes, based on entrance examinations",Yes,"20,000-24,999",Yes,+244 (222) 311 125,"Angola

",3,https://www.4icu.org//i/flags/Angola.png,Agostinho Neto University,Agostinho Neto University,Agostinho Neto University,"Benguela, Huíla, Huambo and Kwanza-Sul",https://www.4icu.org//i/screenshots/28.jpg,Department of Agrarian Sciences | Department of Economics | Department of Engineering | Department of Law | Department of Medicine | Department of Science | The Educational Sciences Superior Institute | The National Scientific Investigation Center | Upper Institute of Nursing,https://www.4icu.org//i/logos-seals/28.png,Universidade Agostinho Neto,https://www.4icu.org/reviews/28.htm,https://en.wikipedia.org/wiki/Agostinho_Neto_University,2567
Semesters,Yes,500-599,ITBA,Avenida Eduardo Madero 399 Buenos Aires  C1106 City of Buenos Aires Argentina,Avenida Eduardo Madero 399 Buenos Aires C1106ACD (11) 2150 4822,40-50%,Urban,Yes,Private,Yes,Non-Profit,+54 (11) 2150 4836,Yes,1959,Not reported,Not reported,,Yes,,Ad Lucem Serenitate Tendo To the Light Peacefully She Goes,None,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"2,000-2,999",Yes,+54 (11) 2150 4822,"Argentina

",46,https://www.4icu.org//i/flags/Argentina.png,Buenos Aires Institute of Technology,Buenos Aires Institute of Technology,Buenos Aires Institute of Technology,,https://www.4icu.org//i/screenshots/31.jpg,School Engineering and Technology | School of Engineering and Management | Graduate School,https://www.4icu.org//i/logos-seals/31.png,Instituto Tecnológico de Buenos Aires,https://www.4icu.org/reviews/31.htm,https://en.wikipedia.org/wiki/Instituto_Tecnol%C3%B3gico_de_Buenos_Aires,3744
Semesters,Not reported,Not reported,USTHB,"Boîte Postale 32, El-Alia, Bab-Ezzouar Algiers  16111 Algiers Algeria",,Not reported,Not reported,Not reported,Public,Yes,Non-Profit,+213 (21) 247 904,Yes,1974,Yes,Not reported,,Yes,,Synergy between Science and Technology,None,"Yes, based on students' past academic record and grades",Yes,"25,000-29,999",Yes,+213 (21) 247 950,"Algeria

",5,https://www.4icu.org//i/flags/Algeria.png,University of Sciences and Technology Houari Boumediene,University of Sciences and Technology Houari Boumediene,University of Sciences and Technology Houari Boumediene,,https://www.4icu.org//i/screenshots/24.jpg,"Department of Biological Sciences | Department of Chemistry | Department of Civil Engineering | Department of Earth Science, Geography and Regional Planning | Department of Electronic and Computer Engineering | Department of Mathematics | Department of Mechanical and Process Engineering | Department of Physics",https://www.4icu.org//i/logos-seals/24.png,Université des Sciences et de la Technologie Houari Boumediène,https://www.4icu.org/reviews/24.htm,https://en.wikipedia.org/wiki/University_of_Sciences_and_Technology_Houari_Boumediene,3409
Semesters,Not reported,Not reported,IUA,Avenida Fuerza Aérea 6500 Alta Gracia  S2000BUN Cordoba Argentina,,Not reported,Not reported,Not reported,Public,Not reported,Non-Profit,+54 (351) 443 5015,Not reported,1947,Not reported,Not reported,,Yes,,,None,Not reported,Not reported,Not reported,Not reported,+54 (351) 568 8802,"Argentina

",97,https://www.4icu.org//i/flags/Argentina.png,Air University Institute,Air University Institute,Air University Institute,"Bell Ville, Buenos Aires, Córdoba, Montevideo, Morteros, Rosario, Villa Dolores",https://www.4icu.org//i/screenshots/32.jpg,Department of Management Sciences | Department of Engineering,https://www.4icu.org//i/logos-seals/32.png,Instituto Universitario Aeronáutico,https://www.4icu.org/reviews/32.htm,https://es.wikipedia.org/wiki/Instituto_Universitario_Aeron%C3%A1utico,7928
Semesters,Not reported,"2,500-2,999",UNA,Azcuenaga 1129 Buenos Aires  C1115AAG City of Buenos Aires Argentina,Azcuenaga 1129 Buenos Aires C1115AAG (11) 5777 1300,Not available,Urban,Not reported,Public,Not reported,Non-Profit,+54 (11) 4516 0993,Yes,1996,Not reported,Not reported,,Yes,,,None,"Yes, based on entrance examinations",Not reported,"20,000-24,999",Yes,+54 (11) 5777 1300,"Argentina

",51,https://www.4icu.org//i/flags/Argentina.png,National University of the Arts,National University of the Arts,National University of the Arts,,https://www.4icu.org//i/screenshots/34.jpg,Department of Audiovisual Arts | Transdepartmental Area of Art Criticism | Department of Dramatic Arts | Transdepartmental Area of Folklore | Department of Motion Arts | Transdepartmental Teaching Training Area | Department of Music and Sonic Arts | Transdepartmental Area of Multimedia Arts | Department of Visual Arts | Museum of Calcos and Comparative Sculpture Ernesto de la Cárcova,https://www.4icu.org//i/logos-seals/34.png,Universidad Nacional de las Artes,https://www.4icu.org/reviews/34.htm,https://en.wikipedia.org/wiki/Universidad_Nacional_de_las_Artes,4148
Semesters,,Not reported,IUPFA,"Rosario 532 Buenos Aires (population range: 1,000,000-5,000,000) C1424 City of Buenos Aires Argentina",+54,Not reported,Not reported,,Public,Not reported,Non-Profit,,Not reported,1974,Not reported,,,Yes,,,None,,Not reported,Not reported,Not reported,,"Argentina

",85,https://www.4icu.org//i/flags/Argentina.png,University Institute of Argentine Federal Police,University Institute of Argentine Federal Police,University Institute of Argentine Federal Police,,https://www.4icu.org//i/screenshots/37.jpg,Department of Biomedical Sciences School of Nursing Department of Criminal Science Department of Security Sciences Department of Law and Social Sciences,https://www.4icu.org//i/logos-seals/37.png,Instituto Universitario de la Policía Federal Argentina,https://www.4icu.org/reviews/37.htm,https://es.wikipedia.org/wiki/Instituto_Universitario_de_la_Polic%C3%ADa_Federal_Argentina,8329
Semesters,Not reported,500-599,UMaza,Acceso Este Lateral Sur Nº 2245 Guaymallén  M5519 Mendoza Argentina,Acceso Este Lateral Sur Nº 2245 Guaymallén M5519 (261) 405 6240 (261) 405 6200,60-70%,Urban,Not reported,Private,Yes,Non-Profit,+54 (261) 405 6209,Not reported,1960,Not reported,Not reported,,Yes,,,None,"Yes, based on entrance examinations",Yes,"3,000-3,999",Not reported,+54 (261) 405 6200,"Argentina

",56,https://www.4icu.org//i/flags/Argentina.png,Juan Agustín Maza University,Juan Agustín Maza University,Juan Agustín Maza University,,https://www.4icu.org//i/screenshots/39.jpg,"School of Nutritional Sciences | Department of Business | School of Physics, Chemistry and Mathematics | Department of Veterinary Science and Environment | Department of Physical Education | Department of Oenology | Department of Pharmacy and Biochemistry | Department of Engineering | Department of Motor Sciences and Physiotherapy | Department of Journalism | Postgraduate",https://www.4icu.org//i/logos-seals/39.png,Universidad Juan Agustín Maza,https://www.4icu.org/reviews/39.htm,https://en.wikipedia.org/wiki/Juan_Agust%C3%ADn_Maza_University,4470
